study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
C:\Program Files\PsychoPy\soloproject\1.png,,,0,0,0,0,,,,,,,,,9.104161799994472,12.122709099996428,12.122709099996428,12.618314499995904,12.625934199997573,,,,,,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
C:\Program Files\PsychoPy\soloproject\4.png,,,0,1,1,3,,,,,,,,,,,17.627406599996903,18.111110799996823,18.127081599996018,23.12209409999923,,,,,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
C:\Program Files\PsychoPy\soloproject\9.png,,,0,2,2,8,,,,,,,,,,,23.12209409999923,23.612683799998194,23.62863539999671,28.61810699999478,,,,,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
C:\Program Files\PsychoPy\soloproject\5.png,,,0,3,3,4,,,,,,,,,,,28.61810699999478,29.114040499996918,29.130330399995728,34.12353769999754,,,,,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
C:\Program Files\PsychoPy\soloproject\8.png,,,0,4,4,7,,,,,,,,,,,34.12353769999754,34.61534379999648,34.63178089999565,,,,,,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
C:\Program Files\PsychoPy\soloproject\2.png,,,0,5,5,1,,,,,,,,,,,39.61680789999809,40.10006119999889,40.11660139999731,45.110240399997565,,,,,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
C:\Program Files\PsychoPy\soloproject\7.png,,,0,6,6,6,,,,,,,,,,,45.110240399997565,45.60160789999645,45.61789829999907,50.612658199999714,,,,,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
C:\Program Files\PsychoPy\soloproject\6.png,,,0,7,7,5,,,,,,,,,,,50.612658199999714,51.103069899996626,51.119483800001035,56.11415459999989,,,,,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
C:\Program Files\PsychoPy\soloproject\3.png,,,0,8,8,2,,,,,,,,,,,56.11415459999989,56.60457759999554,56.62102349999623,61.628763900000195,,,,,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,113-49,,,,,,0,0,0,2,,,,,,,,,,,61.628763900000195,61.628763900000195,71.64135669999814,64,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,637+94,,,,,,0,1,1,1,,,,,,,,,,,76.62733289999596,76.62733289999596,86.62847630000033,731,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,522+16,,,,,,0,2,2,4,,,,,,,,,,,91.63705689999915,91.63705689999915,101.64908899999864,538,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,125-19,,,,,,0,3,3,0,,,,,,,,,,,106.6178163999939,106.6178163999939,116.61978219999583,106,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,586+76,,,,,,0,4,4,3,,,,,,,,,,,121.62475129999802,121.62475129999802,131.62374969999655,662,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,273-87,,,,,,0,5,5,5,,,,,,,,,,,136.62508199999866,136.62508199999866,146.62762959999964,182,,,,,,,,,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\19.png,,,,,,,,,0,0,0,9,,,,,,,,,,,151.63995319999958,152.11373230000027,152.146559599998,155.11345340000116,155.11345340000116,y,2.473667900005239,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\12.png,,,,,,,,,0,1,1,2,,,,,,,,,,,157.62464499999624,158.1148272999999,158.13131179999618,161.11502339999424,161.09881389999646,y,0.9265587000118103,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\13.png,,,,,,,,,0,2,2,3,,,,,,,,,,,162.0638503999944,162.54930859999877,162.56591099999787,165.5494527999981,165.53302149999945,y,0.774972200008051,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\16.png,,,,,,,,,0,3,3,6,,,,,,,,,,,166.34339239999827,166.83374889999686,166.850348699998,169.83395089999976,169.8176944999941,y,0.7317833000051905,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\15.png,,,,,,,,,0,4,4,5,,,,,,,,,,,170.57832939999935,171.06828159999714,171.0844913999972,174.06853620000038,174.05221009999514,y,0.8044778000039514,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\14.png,,,,,,,,,0,5,5,4,,,,,,,,,,,174.89831489999779,175.38609829999768,175.4025393999982,178.3861567999993,178.36994449999474,n,0.26582820000476204,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\26.png,,,,,,,,,0,6,6,16,,,,,,,,,,,178.67802149999625,179.15385939999396,179.18668169999728,182.1538517999943,182.13749559999997,n,0.7548960000058287,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\23.png,,,,,,,,,0,7,7,13,,,,,,,,,,,182.93205869999656,183.4217303999976,183.4378757999948,186.4217531999966,186.40553419999924,n,0.6827465000096709,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\18.png,,,,,,,,,0,8,8,8,,,,,,,,,,,187.11896149999666,187.6061186999941,187.62254219999886,190.60613459999877,190.58975129999453,y,0.03611560000717873,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\25.png,,,,,,,,,0,9,9,15,,,,,,,,,,,190.66758299999492,191.1569285000005,191.17325419999543,194.15710079999553,194.1407665999941,n,0.4759942000018782,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\21.png,,,,,,,,,0,10,10,11,,,,,,,,,,,194.65510039999936,195.141320799994,195.15770519999933,198.1413560000001,198.12558259999787,n,1.4168965000062599,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\27.png,,,,,,,,,0,11,11,17,,,,,,,,,,,199.57195109999884,200.0592783999964,200.07580709999456,203.0594506999987,203.0594506999987,n,0.7239910000062082,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\24.png,,,,,,,,,0,12,12,14,,,,,,,,,,,203.82117579999613,204.31049419999908,204.32682889999705,207.310478899999,207.29408229999535,y,0.5499392000056105,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\11.png,,,,,,,,,0,13,13,1,,,,,,,,,,,207.87321710000106,208.36172009999427,208.3779846999969,211.36169939999672,211.34512629999517,y,0.5699365000036778,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\20.png,,,,,,,,,0,14,14,10,,,,,,,,,,,211.9594219999999,212.44601189999958,212.46226849999948,215.44593379999424,215.42985390000104,n,0.48448630000348203,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\22.png,,,,,,,,,0,15,15,12,,,,,,,,,,,215.95271330000105,216.44691509999393,216.46320679999917,219.44715279999946,219.43094179999753,n,4.917598900006851,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
,,C:\Program Files\PsychoPy\soloproject\17.png,,,,,,,,,0,16,16,7,,,,,,,,,,,224.3920097999944,224.86595229999512,224.898892899997,227.86602940000012,227.86602940000012,y,0.5831195000064326,None,648668,001,2023-11-28_23h28.59.248,labsolo,2023.1.3,60.169521610398775,
