study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
C:\Program Files\PsychoPy\soloproject\4.png,,,0,0,0,3,,,,,,,,,12.178662400008761,15.18635690001247,15.18635690001247,15.68374940000649,15.694874400011031,,,,,,,,,,,,,,4,001,2023-11-29_19h10.59.589,labsolo,2023.1.3,59.98767853303048,
C:\Program Files\PsychoPy\soloproject\3.png,,,0,1,1,2,,,,,,,,,,,20.696266800005105,21.1799655000068,21.196466300010798,26.190472000002046,,,,,,,,,,,,,4,001,2023-11-29_19h10.59.589,labsolo,2023.1.3,59.98767853303048,
C:\Program Files\PsychoPy\soloproject\2.png,,,0,2,2,1,,,,,,,,,,,26.190472000002046,26.681418799998937,26.69802390001132,31.690589200006798,,,,,,,,,,,,,4,001,2023-11-29_19h10.59.589,labsolo,2023.1.3,59.98767853303048,
C:\Program Files\PsychoPy\soloproject\6.png,,,0,3,3,5,,,,,,,,,,,31.690589200006798,32.18301330000395,32.19926960000885,37.19540640000196,,,,,,,,,,,,,4,001,2023-11-29_19h10.59.589,labsolo,2023.1.3,59.98767853303048,
C:\Program Files\PsychoPy\soloproject\7.png,,,0,4,4,6,,,,,,,,,,,37.19540640000196,37.68463740000152,37.70073219999904,42.69484110000485,,,,,,,,,,,,,4,001,2023-11-29_19h10.59.589,labsolo,2023.1.3,59.98767853303048,
C:\Program Files\PsychoPy\soloproject\1.png,,,0,5,5,0,,,,,,,,,,,42.69484110000485,43.185903600009624,43.20228599999973,48.19696169999952,,,,,,,,,,,,,4,001,2023-11-29_19h10.59.589,labsolo,2023.1.3,59.98767853303048,
C:\Program Files\PsychoPy\soloproject\5.png,,,0,6,6,4,,,,,,,,,,,48.19696169999952,48.68733330001123,48.70369180000853,53.6966465000005,,,,,,,,,,,,,4,001,2023-11-29_19h10.59.589,labsolo,2023.1.3,59.98767853303048,
C:\Program Files\PsychoPy\soloproject\9.png,,,0,7,7,8,,,,,,,,,,,53.6966465000005,54.188880400004564,54.20501360000344,59.196443900000304,,,,,,,,,,,,,4,001,2023-11-29_19h10.59.589,labsolo,2023.1.3,59.98767853303048,
C:\Program Files\PsychoPy\soloproject\8.png,,,0,8,8,7,,,,,,,,,,,59.196443900000304,59.69014099999913,59.70664420000685,,,,,,,,,,,,,,4,001,2023-11-29_19h10.59.589,labsolo,2023.1.3,59.98767853303048,
,522+16,,,,,,0,0,0,4,,,,,,,,,,,64.7052049000049,64.7052049000049,74.71016840000811,"538
",,,,,,,,,4,001,2023-11-29_19h10.59.589,labsolo,2023.1.3,59.98767853303048,
