study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
C:\Program Files\PsychoPy\soloproject\2.png,,,0,0,0,1,,,,,,,,,12.4589123,15.4685608,15.4685608,15.9639978,15.9751257,,,,,,,,,,,,,,5,1,2023-11-29_19h16.09.552,labsolo,2023.1.3,59.84490594
C:\Program Files\PsychoPy\soloproject\1.png,,,0,1,1,0,,,,,,,,,,,20.9769018,21.4602272,21.4768513,26.468873,,,,,,,,,,,,,5,1,2023-11-29_19h16.09.552,labsolo,2023.1.3,59.84490594
C:\Program Files\PsychoPy\soloproject\8.png,,,0,2,2,7,,,,,,,,,,,26.468873,26.9618254,26.9782315,31.965443,,,,,,,,,,,,,5,1,2023-11-29_19h16.09.552,labsolo,2023.1.3,59.84490594
C:\Program Files\PsychoPy\soloproject\3.png,,,0,3,3,2,,,,,,,,,,,31.965443,32.4633224,32.4796668,37.4721311,,,,,,,,,,,,,5,1,2023-11-29_19h16.09.552,labsolo,2023.1.3,59.84490594
C:\Program Files\PsychoPy\soloproject\5.png,,,0,4,4,4,,,,,,,,,,,37.4721311,37.9649042,37.9809211,42.9737771,,,,,,,,,,,,,5,1,2023-11-29_19h16.09.552,labsolo,2023.1.3,59.84490594
C:\Program Files\PsychoPy\soloproject\9.png,,,0,5,5,8,,,,,,,,,,,42.9737771,43.4661297,43.4826097,48.4716867,,,,,,,,,,,,,5,1,2023-11-29_19h16.09.552,labsolo,2023.1.3,59.84490594
C:\Program Files\PsychoPy\soloproject\7.png,,,0,6,6,6,,,,,,,,,,,48.4716867,48.9677281,48.9840464,53.9765594,,,,,,,,,,,,,5,1,2023-11-29_19h16.09.552,labsolo,2023.1.3,59.84490594
C:\Program Files\PsychoPy\soloproject\6.png,,,0,7,7,5,,,,,,,,,,,53.9765594,54.4690517,54.4855928,59.4718541,,,,,,,,,,,,,5,1,2023-11-29_19h16.09.552,labsolo,2023.1.3,59.84490594
C:\Program Files\PsychoPy\soloproject\4.png,,,0,8,8,3,,,,,,,,,,,59.4718541,59.953739,59.9868132,64.9737331,,,,,,,,,,,,,5,1,2023-11-29_19h16.09.552,labsolo,2023.1.3,59.84490594
,273-87,,,,,,0,0,0,5,,,,,,,,,,,64.9737331,64.9737331,74.9740415,1,,,,,,,,,5,1,2023-11-29_19h16.09.552,labsolo,2023.1.3,59.84490594
