study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
C:\Program Files\PsychoPy\soloproject\2.png,,,0,0,0,1,,,,,,,,,18.8520349,21.8676827,21.8676827,22.3644345,22.3737203,,,,,,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
C:\Program Files\PsychoPy\soloproject\3.png,,,0,1,1,2,,,,,,,,,,,27.375366,27.8588252,27.875257,32.8678413,,,,,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
C:\Program Files\PsychoPy\soloproject\8.png,,,0,2,2,7,,,,,,,,,,,32.8678413,33.36059,33.3764959,38.370692,,,,,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
C:\Program Files\PsychoPy\soloproject\5.png,,,0,3,3,4,,,,,,,,,,,38.370692,38.8618369,38.8780842,43.8692931,,,,,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
C:\Program Files\PsychoPy\soloproject\1.png,,,0,4,4,0,,,,,,,,,,,43.8692931,44.3633754,44.3793762,,,,,,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
C:\Program Files\PsychoPy\soloproject\7.png,,,0,5,5,6,,,,,,,,,,,49.3645572,49.8479921,49.8645854,54.8574207,,,,,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
C:\Program Files\PsychoPy\soloproject\9.png,,,0,6,6,8,,,,,,,,,,,54.8574207,55.3496946,55.3659038,60.3585757,,,,,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
C:\Program Files\PsychoPy\soloproject\6.png,,,0,7,7,5,,,,,,,,,,,60.3585757,60.850881,60.8674406,65.8561188,,,,,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
C:\Program Files\PsychoPy\soloproject\4.png,,,0,8,8,3,,,,,,,,,,,65.8561188,66.3524152,66.3689876,71.3671241,,,,,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
,273-87,,,,,,0,0,0,5,,,,,,,,,,,71.3671241,71.3671241,81.3722135,186,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
,113-49,,,,,,0,1,1,2,,,,,,,,,,,86.3738702,86.3738702,96.3762969,64,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
,522+16,,,,,,0,2,2,4,,,,,,,,,,,101.3855932,101.3855932,111.3968983,538,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
,637+94,,,,,,0,3,3,1,,,,,,,,,,,116.3649989,116.3649989,126.3675937,731,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
,125-19,,,,,,0,4,4,0,,,,,,,,,,,131.3708029,131.3708029,141.3820835,106,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
,586+76,,,,,,0,5,5,3,,,,,,,,,,,146.3730037,146.3730037,156.3756334,662,,,,,,,,,HI,1,2023-11-28_23h35.50.219,labsolo,2023.1.3,59.94402427
