study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
C:\Program Files\PsychoPy\soloproject\8.png,,,0,0,0,7,,,,,,,,,15.1305098,18.1462445,18.1462445,18.6410737,18.6526556,,,,,,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
C:\Program Files\PsychoPy\soloproject\6.png,,,0,1,1,5,,,,,,,,,,,23.6624119,24.137776,24.1707941,29.14852,,,,,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
C:\Program Files\PsychoPy\soloproject\5.png,,,0,2,2,4,,,,,,,,,,,29.14852,29.6392308,29.6552826,34.649285,,,,,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
C:\Program Files\PsychoPy\soloproject\4.png,,,0,3,3,3,,,,,,,,,,,34.649285,35.1408588,35.1570411,40.1530881,,,,,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
C:\Program Files\PsychoPy\soloproject\7.png,,,0,4,4,6,,,,,,,,,,,40.1530881,40.6421733,40.6584084,,,,,,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
C:\Program Files\PsychoPy\soloproject\2.png,,,0,5,5,1,,,,,,,,,,,45.6435231,46.126985,46.1433113,51.1378412,,,,,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
C:\Program Files\PsychoPy\soloproject\9.png,,,0,6,6,8,,,,,,,,,,,51.1378412,51.628404,51.6446504,56.6408757,,,,,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
C:\Program Files\PsychoPy\soloproject\3.png,,,0,7,7,2,,,,,,,,,,,56.6408757,57.1296566,57.1463983,62.1391502,,,,,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
C:\Program Files\PsychoPy\soloproject\1.png,,,0,8,8,0,,,,,,,,,,,62.1391502,62.6313446,62.6476998,67.6537533,,,,,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
,125-19,,,,,,0,0,0,0,,,,,,,,,,,67.6537533,67.6537533,77.6678267,106,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
,113-49,,,,,,0,1,1,2,,,,,,,,,,,82.6581349,82.6581349,92.6718298,66,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
,586+76,,,,,,0,2,2,3,,,,,,,,,,,97.6568403,97.6568403,107.6592985,662,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
,637+94,,,,,,0,3,3,1,,,,,,,,,,,112.6454353,112.6454353,122.6465927,761,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
,522+16,,,,,,0,4,4,4,,,,,,,,,,,127.6493876,127.6493876,137.6504659,538,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
,273-87,,,,,,0,5,5,5,,,,,,,,,,,142.6538807,142.6538807,152.654434,181,,,,,,,,,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
,,C:\Program Files\PsychoPy\soloproject\26.png,,,,,,,,,0,0,0,16,,,,,,,,,,,157.6687577,158.1402795,158.1728209,161.1402555,161.1402555,n,0.6168241,None,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
,,C:\Program Files\PsychoPy\soloproject\23.png,,,,,,,,,0,1,1,13,,,,,,,,,,,161.796696,162.2744222,162.3074736,165.2745169,165.2745169,n,0.6377174,None,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
,,C:\Program Files\PsychoPy\soloproject\22.png,,,,,,,,,0,2,2,12,,,,,,,,,,,165.9550149,166.442219,166.4585947,169.4421901,169.4260243,n,0.5119163,None,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
,,C:\Program Files\PsychoPy\soloproject\10.png,,,,,,,,,0,3,3,0,,,,,,,,,,,169.9719154,170.4600077,170.4762977,173.4600953,173.4435375,y,0.5550095,None,hhi,1,2023-11-28_23h44.23.090,labsolo,2023.1.3,59.99055749
